question,answer,group,bm25_text
What do I do on the day of my online proctored exam?,"Make sure your workspace is set up as described above at least one hour before the start time.
Review the exam instructions provided by your Unit Convener.
Log into your UC Learn (Canvas) teaching site at least 30 minutes before the start time, and check your technology is working (internet, webcam, and microphone).
Open your exam at the advised time.
On request, hold up your ID card in front of the webcam so the proctoring software can capture a photo to verify your identity. While doing this look directly into your webcam.
Read the academic integrity statement and acknowledge you will comply with the requirements by selecting the tick box, where it is provided.
Commence your exam. Your work is saved every 30 seconds.
If you log in late, the amount of time you are late is deducted from your exam time.

Validating your ID and reading and certifying the academic integrity statement is not counted in your exam time",,what do i do on the day of my online proctored exam
What are the steps I should follow on the day of my online proctored exam?,"Make sure your workspace is set up as described above at least one hour before the start time.
Review the exam instructions provided by your Unit Convener.
Log into your UC Learn (Canvas) teaching site at least 30 minutes before the start time, and check your technology is working (internet, webcam, and microphone).
Open your exam at the advised time.
On request, hold up your ID card in front of the webcam so the proctoring software can capture a photo to verify your identity. While doing this look directly into your webcam.
Read the academic integrity statement and acknowledge you will comply with the requirements by selecting the tick box, where it is provided.
Commence your exam. Your work is saved every 30 seconds.
If you log in late, the amount of time you are late is deducted from your exam time.

Validating your ID and reading and certifying the academic integrity statement is not counted in your exam time",,what are the steps i should follow on the day of my online proctored exam
Can you guide me through the procedure for the day of an online proctored examination?,"Make sure your workspace is set up as described above at least one hour before the start time.
Review the exam instructions provided by your Unit Convener.
Log into your UC Learn (Canvas) teaching site at least 30 minutes before the start time, and check your technology is working (internet, webcam, and microphone).
Open your exam at the advised time.
On request, hold up your ID card in front of the webcam so the proctoring software can capture a photo to verify your identity. While doing this look directly into your webcam.
Read the academic integrity statement and acknowledge you will comply with the requirements by selecting the tick box, where it is provided.
Commence your exam. Your work is saved every 30 seconds.
If you log in late, the amount of time you are late is deducted from your exam time.

Validating your ID and reading and certifying the academic integrity statement is not counted in your exam time",,can you guide me through the procedure for the day of an online proctored examination
What preparations and actions are necessary on the day of my online proctored test?,"Make sure your workspace is set up as described above at least one hour before the start time.
Review the exam instructions provided by your Unit Convener.
Log into your UC Learn (Canvas) teaching site at least 30 minutes before the start time, and check your technology is working (internet, webcam, and microphone).
Open your exam at the advised time.
On request, hold up your ID card in front of the webcam so the proctoring software can capture a photo to verify your identity. While doing this look directly into your webcam.
Read the academic integrity statement and acknowledge you will comply with the requirements by selecting the tick box, where it is provided.
Commence your exam. Your work is saved every 30 seconds.
If you log in late, the amount of time you are late is deducted from your exam time.

Validating your ID and reading and certifying the academic integrity statement is not counted in your exam time",,what preparations and actions are necessary on the day of my online proctored test
How should I go about the day when I have an online exam with proctoring?,"Make sure your workspace is set up as described above at least one hour before the start time.
Review the exam instructions provided by your Unit Convener.
Log into your UC Learn (Canvas) teaching site at least 30 minutes before the start time, and check your technology is working (internet, webcam, and microphone).
Open your exam at the advised time.
On request, hold up your ID card in front of the webcam so the proctoring software can capture a photo to verify your identity. While doing this look directly into your webcam.
Read the academic integrity statement and acknowledge you will comply with the requirements by selecting the tick box, where it is provided.
Commence your exam. Your work is saved every 30 seconds.
If you log in late, the amount of time you are late is deducted from your exam time.

Validating your ID and reading and certifying the academic integrity statement is not counted in your exam time",,how should i go about the day when i have an online exam with proctoring
What do I need to do specifically on the day of an online exam that is proctored?,"Make sure your workspace is set up as described above at least one hour before the start time.
Review the exam instructions provided by your Unit Convener.
Log into your UC Learn (Canvas) teaching site at least 30 minutes before the start time, and check your technology is working (internet, webcam, and microphone).
Open your exam at the advised time.
On request, hold up your ID card in front of the webcam so the proctoring software can capture a photo to verify your identity. While doing this look directly into your webcam.
Read the academic integrity statement and acknowledge you will comply with the requirements by selecting the tick box, where it is provided.
Commence your exam. Your work is saved every 30 seconds.
If you log in late, the amount of time you are late is deducted from your exam time.

Validating your ID and reading and certifying the academic integrity statement is not counted in your exam time",,what do i need to do specifically on the day of an online exam that is proctored
Could you outline the activities or preparations for the day of an online proctored exam?,"Make sure your workspace is set up as described above at least one hour before the start time.
Review the exam instructions provided by your Unit Convener.
Log into your UC Learn (Canvas) teaching site at least 30 minutes before the start time, and check your technology is working (internet, webcam, and microphone).
Open your exam at the advised time.
On request, hold up your ID card in front of the webcam so the proctoring software can capture a photo to verify your identity. While doing this look directly into your webcam.
Read the academic integrity statement and acknowledge you will comply with the requirements by selecting the tick box, where it is provided.
Commence your exam. Your work is saved every 30 seconds.
If you log in late, the amount of time you are late is deducted from your exam time.

Validating your ID and reading and certifying the academic integrity statement is not counted in your exam time",,could you outline the activities or preparations for the day of an online proctored exam
What if I am unwell on the day of the exam?,"If you are unwell on the day of your exam you can apply to defer your exam by submitting a Deferred Exam Application form within three days of your exam. You will be advised of your deferred exam date and time, which will be scheduled between 29 November to 4 December 2021.",,what if i am unwell on the day of the exam
What should I do if I find myself sick on the exam day?,"If you are unwell on the day of your exam you can apply to defer your exam by submitting a Deferred Exam Application form within three days of your exam. You will be advised of your deferred exam date and time, which will be scheduled between 29 November to 4 December 2021.",,what should i do if i find myself sick on the exam day
"""How do I handle the situation if I'm unwell on the day of an exam?","If you are unwell on the day of your exam you can apply to defer your exam by submitting a Deferred Exam Application form within three days of your exam. You will be advised of your deferred exam date and time, which will be scheduled between 29 November to 4 December 2021.",,how do i handle the situation if i m unwell on the day of an exam
"""What's the protocol for being ill on the day of the examination?","If you are unwell on the day of your exam you can apply to defer your exam by submitting a Deferred Exam Application form within three days of your exam. You will be advised of your deferred exam date and time, which will be scheduled between 29 November to 4 December 2021.",,what s the protocol for being ill on the day of the examination
Can you guide me on the steps to take if I am sick on exam day?,"If you are unwell on the day of your exam you can apply to defer your exam by submitting a Deferred Exam Application form within three days of your exam. You will be advised of your deferred exam date and time, which will be scheduled between 29 November to 4 December 2021.",,can you guide me on the steps to take if i am sick on exam day
What are my options if I'm too unwell to take the exam as scheduled?,"If you are unwell on the day of your exam you can apply to defer your exam by submitting a Deferred Exam Application form within three days of your exam. You will be advised of your deferred exam date and time, which will be scheduled between 29 November to 4 December 2021.",,what are my options if i m too unwell to take the exam as scheduled
"In case of illness on exam day, what is the recommended course of action?","If you are unwell on the day of your exam you can apply to defer your exam by submitting a Deferred Exam Application form within three days of your exam. You will be advised of your deferred exam date and time, which will be scheduled between 29 November to 4 December 2021.",,in case of illness on exam day what is the recommended course of action
What if I have technical issues during my exam?,"If you have technical issues (e.g., your internet drops out, or you accidentally log out of the exam, then log back in and continue completing it. 

If you need help, click on the green ‘Live Chat’ button to talk to a Proctorio support person.

If you experience serious issues and are unable to log back in immediately or have other technology issues, you can apply to defer your exam by submitting a Deferred Exam Application form within three days of your exam.  You will be advised of your deferred exam date and time, which will be scheduled between 29 November to 4 December 2021. 

After you have sat your exam(s), please follow these instructions to Uninstall a Chrome extension.

Uninstall an extension
To the right of your address bar, look for the extension's icon. Right-click the icon and select Remove from Chrome.

If you don't find the extension's icon:

On your computer, open Chrome.
At the top right, select More More and then Extensions and then Manage extensions.
On the extension you want to remove, select Remove.
To confirm, select Remove.",,what if i have technical issues during my exam
What steps should I take if I encounter technical problems during the exam?,"If you have technical issues (e.g., your internet drops out, or you accidentally log out of the exam, then log back in and continue completing it. 

If you need help, click on the green ‘Live Chat’ button to talk to a Proctorio support person.

If you experience serious issues and are unable to log back in immediately or have other technology issues, you can apply to defer your exam by submitting a Deferred Exam Application form within three days of your exam.  You will be advised of your deferred exam date and time, which will be scheduled between 29 November to 4 December 2021. 

After you have sat your exam(s), please follow these instructions to Uninstall a Chrome extension.

Uninstall an extension
To the right of your address bar, look for the extension's icon. Right-click the icon and select Remove from Chrome.

If you don't find the extension's icon:

On your computer, open Chrome.
At the top right, select More More and then Extensions and then Manage extensions.
On the extension you want to remove, select Remove.
To confirm, select Remove.",,what steps should i take if i encounter technical problems during the exam
How do I address technical difficulties that arise while I'm taking the exam?,"If you have technical issues (e.g., your internet drops out, or you accidentally log out of the exam, then log back in and continue completing it. 

If you need help, click on the green ‘Live Chat’ button to talk to a Proctorio support person.

If you experience serious issues and are unable to log back in immediately or have other technology issues, you can apply to defer your exam by submitting a Deferred Exam Application form within three days of your exam.  You will be advised of your deferred exam date and time, which will be scheduled between 29 November to 4 December 2021. 

After you have sat your exam(s), please follow these instructions to Uninstall a Chrome extension.

Uninstall an extension
To the right of your address bar, look for the extension's icon. Right-click the icon and select Remove from Chrome.

If you don't find the extension's icon:

On your computer, open Chrome.
At the top right, select More More and then Extensions and then Manage extensions.
On the extension you want to remove, select Remove.
To confirm, select Remove.",,how do i address technical difficulties that arise while i m taking the exam
"In the event of technical issues during the exam, what should be my course of action?","If you have technical issues (e.g., your internet drops out, or you accidentally log out of the exam, then log back in and continue completing it. 

If you need help, click on the green ‘Live Chat’ button to talk to a Proctorio support person.

If you experience serious issues and are unable to log back in immediately or have other technology issues, you can apply to defer your exam by submitting a Deferred Exam Application form within three days of your exam.  You will be advised of your deferred exam date and time, which will be scheduled between 29 November to 4 December 2021. 

After you have sat your exam(s), please follow these instructions to Uninstall a Chrome extension.

Uninstall an extension
To the right of your address bar, look for the extension's icon. Right-click the icon and select Remove from Chrome.

If you don't find the extension's icon:

On your computer, open Chrome.
At the top right, select More More and then Extensions and then Manage extensions.
On the extension you want to remove, select Remove.
To confirm, select Remove.",,in the event of technical issues during the exam what should be my course of action
What is the recommended procedure for dealing with technical glitches during an exam?,"If you have technical issues (e.g., your internet drops out, or you accidentally log out of the exam, then log back in and continue completing it. 

If you need help, click on the green ‘Live Chat’ button to talk to a Proctorio support person.

If you experience serious issues and are unable to log back in immediately or have other technology issues, you can apply to defer your exam by submitting a Deferred Exam Application form within three days of your exam.  You will be advised of your deferred exam date and time, which will be scheduled between 29 November to 4 December 2021. 

After you have sat your exam(s), please follow these instructions to Uninstall a Chrome extension.

Uninstall an extension
To the right of your address bar, look for the extension's icon. Right-click the icon and select Remove from Chrome.

If you don't find the extension's icon:

On your computer, open Chrome.
At the top right, select More More and then Extensions and then Manage extensions.
On the extension you want to remove, select Remove.
To confirm, select Remove.",,what is the recommended procedure for dealing with technical glitches during an exam
"If I face technical challenges during the exam, what are my options?","If you have technical issues (e.g., your internet drops out, or you accidentally log out of the exam, then log back in and continue completing it. 

If you need help, click on the green ‘Live Chat’ button to talk to a Proctorio support person.

If you experience serious issues and are unable to log back in immediately or have other technology issues, you can apply to defer your exam by submitting a Deferred Exam Application form within three days of your exam.  You will be advised of your deferred exam date and time, which will be scheduled between 29 November to 4 December 2021. 

After you have sat your exam(s), please follow these instructions to Uninstall a Chrome extension.

Uninstall an extension
To the right of your address bar, look for the extension's icon. Right-click the icon and select Remove from Chrome.

If you don't find the extension's icon:

On your computer, open Chrome.
At the top right, select More More and then Extensions and then Manage extensions.
On the extension you want to remove, select Remove.
To confirm, select Remove.",,if i face technical challenges during the exam what are my options
Can you advise me on what to do if I experience technical issues during the exam?,"If you have technical issues (e.g., your internet drops out, or you accidentally log out of the exam, then log back in and continue completing it. 

If you need help, click on the green ‘Live Chat’ button to talk to a Proctorio support person.

If you experience serious issues and are unable to log back in immediately or have other technology issues, you can apply to defer your exam by submitting a Deferred Exam Application form within three days of your exam.  You will be advised of your deferred exam date and time, which will be scheduled between 29 November to 4 December 2021. 

After you have sat your exam(s), please follow these instructions to Uninstall a Chrome extension.

Uninstall an extension
To the right of your address bar, look for the extension's icon. Right-click the icon and select Remove from Chrome.

If you don't find the extension's icon:

On your computer, open Chrome.
At the top right, select More More and then Extensions and then Manage extensions.
On the extension you want to remove, select Remove.
To confirm, select Remove.",,can you advise me on what to do if i experience technical issues during the exam
When can I defer my exam?,"Applying for a deferral is better than turning up to your exam unwell and having to leave early. This would make you ineligible for special consideration and will affect the progress of your course.
Acceptable reasons for a deferral could include:

I am unwell – If you’re unwell, you’ll need to show you have a signed medical certificate from a doctor, dentist or other qualified health practitioner to be considered for a deferral. The medical certificate should cover the date of your exam. 
There’s been a death in my family – You can apply for a deferral if you've lost a family member or close friend and can provide a death certificate or a letter from your doctor.
I have a sporting commitment – You can apply for a deferral if you're competing in a sport at state or national level. Ask your team manager or another national athletic adviser for a letter to support your request. If you're involved in UC’s Elite Athlete Program, talk to the Elite Athlete or Wellbeing teams about your commitments and availability. 
I have a work commitment – If you have an unavoidable work commitment at the same time as an exam, your employer will need to give you some evidence of this to support your request for a deferral. 
My car has broken down or been in an accident – You need a police or mechanic’s report if you want to defer your exam because of an accident or transport problems. If you’ve been injured in a road accident, ask your doctor, dentist or another health practitioner for a medical certificate. 
I need to attend court – If you’ve been called up for jury duty or need to go to court for another reason, you'll need to show a legal summons or other evidence when you request a deferral. 
I’ve taken three or more exams in a row – If you've exceeded the University’s reasonable exam load of three consecutive exams, you may be eligible to defer one or a few of them.
Other reasons – If you feel you have another legitimate reason to defer an exam, you can explain this in a statutory declaration form. Before you do, keep in mind that deferrals are not given for going to or taking part in a wedding, for international or domestic travel unrelated to your studies, to enable you to attend a social event or due to misunderstanding information about your exam.",,when can i defer my exam
Under what circumstances am I allowed to postpone my exam?,"Applying for a deferral is better than turning up to your exam unwell and having to leave early. This would make you ineligible for special consideration and will affect the progress of your course.
Acceptable reasons for a deferral could include:

I am unwell – If you’re unwell, you’ll need to show you have a signed medical certificate from a doctor, dentist or other qualified health practitioner to be considered for a deferral. The medical certificate should cover the date of your exam. 
There’s been a death in my family – You can apply for a deferral if you've lost a family member or close friend and can provide a death certificate or a letter from your doctor.
I have a sporting commitment – You can apply for a deferral if you're competing in a sport at state or national level. Ask your team manager or another national athletic adviser for a letter to support your request. If you're involved in UC’s Elite Athlete Program, talk to the Elite Athlete or Wellbeing teams about your commitments and availability. 
I have a work commitment – If you have an unavoidable work commitment at the same time as an exam, your employer will need to give you some evidence of this to support your request for a deferral. 
My car has broken down or been in an accident – You need a police or mechanic’s report if you want to defer your exam because of an accident or transport problems. If you’ve been injured in a road accident, ask your doctor, dentist or another health practitioner for a medical certificate. 
I need to attend court – If you’ve been called up for jury duty or need to go to court for another reason, you'll need to show a legal summons or other evidence when you request a deferral. 
I’ve taken three or more exams in a row – If you've exceeded the University’s reasonable exam load of three consecutive exams, you may be eligible to defer one or a few of them.
Other reasons – If you feel you have another legitimate reason to defer an exam, you can explain this in a statutory declaration form. Before you do, keep in mind that deferrals are not given for going to or taking part in a wedding, for international or domestic travel unrelated to your studies, to enable you to attend a social event or due to misunderstanding information about your exam.",,under what circumstances am i allowed to postpone my exam
What are the conditions that permit an exam to be deferred?,"Applying for a deferral is better than turning up to your exam unwell and having to leave early. This would make you ineligible for special consideration and will affect the progress of your course.
Acceptable reasons for a deferral could include:

I am unwell – If you’re unwell, you’ll need to show you have a signed medical certificate from a doctor, dentist or other qualified health practitioner to be considered for a deferral. The medical certificate should cover the date of your exam. 
There’s been a death in my family – You can apply for a deferral if you've lost a family member or close friend and can provide a death certificate or a letter from your doctor.
I have a sporting commitment – You can apply for a deferral if you're competing in a sport at state or national level. Ask your team manager or another national athletic adviser for a letter to support your request. If you're involved in UC’s Elite Athlete Program, talk to the Elite Athlete or Wellbeing teams about your commitments and availability. 
I have a work commitment – If you have an unavoidable work commitment at the same time as an exam, your employer will need to give you some evidence of this to support your request for a deferral. 
My car has broken down or been in an accident – You need a police or mechanic’s report if you want to defer your exam because of an accident or transport problems. If you’ve been injured in a road accident, ask your doctor, dentist or another health practitioner for a medical certificate. 
I need to attend court – If you’ve been called up for jury duty or need to go to court for another reason, you'll need to show a legal summons or other evidence when you request a deferral. 
I’ve taken three or more exams in a row – If you've exceeded the University’s reasonable exam load of three consecutive exams, you may be eligible to defer one or a few of them.
Other reasons – If you feel you have another legitimate reason to defer an exam, you can explain this in a statutory declaration form. Before you do, keep in mind that deferrals are not given for going to or taking part in a wedding, for international or domestic travel unrelated to your studies, to enable you to attend a social event or due to misunderstanding information about your exam.",,what are the conditions that permit an exam to be deferred
Can you tell me when it's possible to reschedule an exam?,"Applying for a deferral is better than turning up to your exam unwell and having to leave early. This would make you ineligible for special consideration and will affect the progress of your course.
Acceptable reasons for a deferral could include:

I am unwell – If you’re unwell, you’ll need to show you have a signed medical certificate from a doctor, dentist or other qualified health practitioner to be considered for a deferral. The medical certificate should cover the date of your exam. 
There’s been a death in my family – You can apply for a deferral if you've lost a family member or close friend and can provide a death certificate or a letter from your doctor.
I have a sporting commitment – You can apply for a deferral if you're competing in a sport at state or national level. Ask your team manager or another national athletic adviser for a letter to support your request. If you're involved in UC’s Elite Athlete Program, talk to the Elite Athlete or Wellbeing teams about your commitments and availability. 
I have a work commitment – If you have an unavoidable work commitment at the same time as an exam, your employer will need to give you some evidence of this to support your request for a deferral. 
My car has broken down or been in an accident – You need a police or mechanic’s report if you want to defer your exam because of an accident or transport problems. If you’ve been injured in a road accident, ask your doctor, dentist or another health practitioner for a medical certificate. 
I need to attend court – If you’ve been called up for jury duty or need to go to court for another reason, you'll need to show a legal summons or other evidence when you request a deferral. 
I’ve taken three or more exams in a row – If you've exceeded the University’s reasonable exam load of three consecutive exams, you may be eligible to defer one or a few of them.
Other reasons – If you feel you have another legitimate reason to defer an exam, you can explain this in a statutory declaration form. Before you do, keep in mind that deferrals are not given for going to or taking part in a wedding, for international or domestic travel unrelated to your studies, to enable you to attend a social event or due to misunderstanding information about your exam.",,can you tell me when it s possible to reschedule an exam
How do I know if I'm eligible to defer my exam to a later date?,"Applying for a deferral is better than turning up to your exam unwell and having to leave early. This would make you ineligible for special consideration and will affect the progress of your course.
Acceptable reasons for a deferral could include:

I am unwell – If you’re unwell, you’ll need to show you have a signed medical certificate from a doctor, dentist or other qualified health practitioner to be considered for a deferral. The medical certificate should cover the date of your exam. 
There’s been a death in my family – You can apply for a deferral if you've lost a family member or close friend and can provide a death certificate or a letter from your doctor.
I have a sporting commitment – You can apply for a deferral if you're competing in a sport at state or national level. Ask your team manager or another national athletic adviser for a letter to support your request. If you're involved in UC’s Elite Athlete Program, talk to the Elite Athlete or Wellbeing teams about your commitments and availability. 
I have a work commitment – If you have an unavoidable work commitment at the same time as an exam, your employer will need to give you some evidence of this to support your request for a deferral. 
My car has broken down or been in an accident – You need a police or mechanic’s report if you want to defer your exam because of an accident or transport problems. If you’ve been injured in a road accident, ask your doctor, dentist or another health practitioner for a medical certificate. 
I need to attend court – If you’ve been called up for jury duty or need to go to court for another reason, you'll need to show a legal summons or other evidence when you request a deferral. 
I’ve taken three or more exams in a row – If you've exceeded the University’s reasonable exam load of three consecutive exams, you may be eligible to defer one or a few of them.
Other reasons – If you feel you have another legitimate reason to defer an exam, you can explain this in a statutory declaration form. Before you do, keep in mind that deferrals are not given for going to or taking part in a wedding, for international or domestic travel unrelated to your studies, to enable you to attend a social event or due to misunderstanding information about your exam.",,how do i know if i m eligible to defer my exam to a later date
What criteria need to be met for me to be able to defer my exam?,"Applying for a deferral is better than turning up to your exam unwell and having to leave early. This would make you ineligible for special consideration and will affect the progress of your course.
Acceptable reasons for a deferral could include:

I am unwell – If you’re unwell, you’ll need to show you have a signed medical certificate from a doctor, dentist or other qualified health practitioner to be considered for a deferral. The medical certificate should cover the date of your exam. 
There’s been a death in my family – You can apply for a deferral if you've lost a family member or close friend and can provide a death certificate or a letter from your doctor.
I have a sporting commitment – You can apply for a deferral if you're competing in a sport at state or national level. Ask your team manager or another national athletic adviser for a letter to support your request. If you're involved in UC’s Elite Athlete Program, talk to the Elite Athlete or Wellbeing teams about your commitments and availability. 
I have a work commitment – If you have an unavoidable work commitment at the same time as an exam, your employer will need to give you some evidence of this to support your request for a deferral. 
My car has broken down or been in an accident – You need a police or mechanic’s report if you want to defer your exam because of an accident or transport problems. If you’ve been injured in a road accident, ask your doctor, dentist or another health practitioner for a medical certificate. 
I need to attend court – If you’ve been called up for jury duty or need to go to court for another reason, you'll need to show a legal summons or other evidence when you request a deferral. 
I’ve taken three or more exams in a row – If you've exceeded the University’s reasonable exam load of three consecutive exams, you may be eligible to defer one or a few of them.
Other reasons – If you feel you have another legitimate reason to defer an exam, you can explain this in a statutory declaration form. Before you do, keep in mind that deferrals are not given for going to or taking part in a wedding, for international or domestic travel unrelated to your studies, to enable you to attend a social event or due to misunderstanding information about your exam.",,what criteria need to be met for me to be able to defer my exam
In which situations is deferring an exam considered acceptable?,"Applying for a deferral is better than turning up to your exam unwell and having to leave early. This would make you ineligible for special consideration and will affect the progress of your course.
Acceptable reasons for a deferral could include:

I am unwell – If you’re unwell, you’ll need to show you have a signed medical certificate from a doctor, dentist or other qualified health practitioner to be considered for a deferral. The medical certificate should cover the date of your exam. 
There’s been a death in my family – You can apply for a deferral if you've lost a family member or close friend and can provide a death certificate or a letter from your doctor.
I have a sporting commitment – You can apply for a deferral if you're competing in a sport at state or national level. Ask your team manager or another national athletic adviser for a letter to support your request. If you're involved in UC’s Elite Athlete Program, talk to the Elite Athlete or Wellbeing teams about your commitments and availability. 
I have a work commitment – If you have an unavoidable work commitment at the same time as an exam, your employer will need to give you some evidence of this to support your request for a deferral. 
My car has broken down or been in an accident – You need a police or mechanic’s report if you want to defer your exam because of an accident or transport problems. If you’ve been injured in a road accident, ask your doctor, dentist or another health practitioner for a medical certificate. 
I need to attend court – If you’ve been called up for jury duty or need to go to court for another reason, you'll need to show a legal summons or other evidence when you request a deferral. 
I’ve taken three or more exams in a row – If you've exceeded the University’s reasonable exam load of three consecutive exams, you may be eligible to defer one or a few of them.
Other reasons – If you feel you have another legitimate reason to defer an exam, you can explain this in a statutory declaration form. Before you do, keep in mind that deferrals are not given for going to or taking part in a wedding, for international or domestic travel unrelated to your studies, to enable you to attend a social event or due to misunderstanding information about your exam.",,in which situations is deferring an exam considered acceptable
when can I defer my exam? and what is the procedure?,"Applying for a deferral is better than turning up to your exam unwell and having to leave early. This would make you ineligible for special consideration and will affect the progress of your course.
Acceptable reasons for a deferral could include:

I am unwell – If you’re unwell, you’ll need to show you have a signed medical certificate from a doctor, dentist or other qualified health practitioner to be considered for a deferral. The medical certificate should cover the date of your exam. 
There’s been a death in my family – You can apply for a deferral if you've lost a family member or close friend and can provide a death certificate or a letter from your doctor.
I have a sporting commitment – You can apply for a deferral if you're competing in a sport at state or national level. Ask your team manager or another national athletic adviser for a letter to support your request. If you're involved in UC’s Elite Athlete Program, talk to the Elite Athlete or Wellbeing teams about your commitments and availability. 
I have a work commitment – If you have an unavoidable work commitment at the same time as an exam, your employer will need to give you some evidence of this to support your request for a deferral. 
My car has broken down or been in an accident – You need a police or mechanic’s report if you want to defer your exam because of an accident or transport problems. If you’ve been injured in a road accident, ask your doctor, dentist or another health practitioner for a medical certificate. 
I need to attend court – If you’ve been called up for jury duty or need to go to court for another reason, you'll need to show a legal summons or other evidence when you request a deferral. 
I’ve taken three or more exams in a row – If you've exceeded the University’s reasonable exam load of three consecutive exams, you may be eligible to defer one or a few of them.
Other reasons – If you feel you have another legitimate reason to defer an exam, you can explain this in a statutory declaration form. Before you do, keep in mind that deferrals are not given for going to or taking part in a wedding, for international or domestic travel unrelated to your studies, to enable you to attend a social event or due to misunderstanding information about your exam.

You can defer an exam being held during an end-of-semester examination period if you're unwell or dealing with another unavoidable problem and can provide supporting documentation. Apply for the deferral before you sit the exam. Leaving early will make you ineligible to apply and will affect your progress in your course.

You can defer a final semester exam but it will postpone your graduation until the following semester.

You can't defer a mid-semester exam or quiz being held outside the exam period. If you'd like to defer these assessments, you'll need to discuss your reasons with your unit convener, whose decision will be final.

You can’t defer an exam that’s already been deferred in line with the University of Canberra’s Assessment Policy and Assessment Procedures, although you can appeal these policies. Outline your situation, including why you had to defer in the first place and why you can’t make the deferred exam. You’ll need to provide any supporting documents, including a statutory declaration form outlining your circumstances, when you send your appeal to the Director of Student Connect at director.sc@canberra.edu.au.",,when can i defer my exam and what is the procedure
"When is it permissible to defer an exam, and what steps must I follow to do so?","Applying for a deferral is better than turning up to your exam unwell and having to leave early. This would make you ineligible for special consideration and will affect the progress of your course.
Acceptable reasons for a deferral could include:

I am unwell – If you’re unwell, you’ll need to show you have a signed medical certificate from a doctor, dentist or other qualified health practitioner to be considered for a deferral. The medical certificate should cover the date of your exam. 
There’s been a death in my family – You can apply for a deferral if you've lost a family member or close friend and can provide a death certificate or a letter from your doctor.
I have a sporting commitment – You can apply for a deferral if you're competing in a sport at state or national level. Ask your team manager or another national athletic adviser for a letter to support your request. If you're involved in UC’s Elite Athlete Program, talk to the Elite Athlete or Wellbeing teams about your commitments and availability. 
I have a work commitment – If you have an unavoidable work commitment at the same time as an exam, your employer will need to give you some evidence of this to support your request for a deferral. 
My car has broken down or been in an accident – You need a police or mechanic’s report if you want to defer your exam because of an accident or transport problems. If you’ve been injured in a road accident, ask your doctor, dentist or another health practitioner for a medical certificate. 
I need to attend court – If you’ve been called up for jury duty or need to go to court for another reason, you'll need to show a legal summons or other evidence when you request a deferral. 
I’ve taken three or more exams in a row – If you've exceeded the University’s reasonable exam load of three consecutive exams, you may be eligible to defer one or a few of them.
Other reasons – If you feel you have another legitimate reason to defer an exam, you can explain this in a statutory declaration form. Before you do, keep in mind that deferrals are not given for going to or taking part in a wedding, for international or domestic travel unrelated to your studies, to enable you to attend a social event or due to misunderstanding information about your exam.

You can defer an exam being held during an end-of-semester examination period if you're unwell or dealing with another unavoidable problem and can provide supporting documentation. Apply for the deferral before you sit the exam. Leaving early will make you ineligible to apply and will affect your progress in your course.

You can defer a final semester exam but it will postpone your graduation until the following semester.

You can't defer a mid-semester exam or quiz being held outside the exam period. If you'd like to defer these assessments, you'll need to discuss your reasons with your unit convener, whose decision will be final.

You can’t defer an exam that’s already been deferred in line with the University of Canberra’s Assessment Policy and Assessment Procedures, although you can appeal these policies. Outline your situation, including why you had to defer in the first place and why you can’t make the deferred exam. You’ll need to provide any supporting documents, including a statutory declaration form outlining your circumstances, when you send your appeal to the Director of Student Connect at director.sc@canberra.edu.au.",,when is it permissible to defer an exam and what steps must i follow to do so
